ensembl_gene_id	mgi_symbol	entrezgene	description
10090.ENSMUSP00000110957	ENSMUSG00000038148	Cldn16	114141	claudin 16 [Source:MGI Symbol;Acc:MGI:2148742]
10090.ENSMUSP00000008991	ENSMUSG00000067889	Spnb3	20743	spectrin beta 3 [Source:MGI Symbol;Acc:MGI:1313261]
10090.ENSMUSP00000011895	ENSMUSG00000011751	Spnb4	80297	spectrin beta 4 [Source:MGI Symbol;Acc:MGI:1890574]
10090.ENSMUSP00000035454	ENSMUSG00000026442	Nfasc	269116	neurofascin [Source:MGI Symbol;Acc:MGI:104753]
10090.ENSMUSP00000106379	ENSMUSG00000020598	Nrcam	319504	neuron-glia-CAM-related cell adhesion molecule [Source:MGI Symbol;Acc:MGI:104750]
10090.ENSMUSP00000011877	ENSMUSG00000020315	Spnb2	20742	spectrin beta 2 [Source:MGI Symbol;Acc:MGI:98388]
10090.ENSMUSP00000021458	ENSMUSG00000021061	Spnb1	20741	spectrin beta 1 [Source:MGI Symbol;Acc:MGI:98387]
10090.ENSMUSP00000073957	ENSMUSG00000044252	Osbpl1a	64291	oxysterol binding protein-like 1A [Source:MGI Symbol;Acc:MGI:1927551]
10090.ENSMUSP00000036378	ENSMUSG00000032826	Ank2	109676	ankyrin 2, brain [Source:MGI Symbol;Acc:MGI:88025]
10090.ENSMUSP00000109348	ENSMUSG00000057738	Spna2	20740	spectrin alpha 2 [Source:MGI Symbol;Acc:MGI:98386]
10090.ENSMUSP00000113571	ENSMUSG00000031543	Ank1	11733	ankyrin 1, erythroid [Source:MGI Symbol;Acc:MGI:88024]
10090.ENSMUSP00000027817	ENSMUSG00000026532	Spna1	20739	spectrin alpha 1 [Source:MGI Symbol;Acc:MGI:98385]
10090.ENSMUSP00000008995	ENSMUSG00000026313	Hdac4	208727	histone deacetylase 4 [Source:MGI Symbol;Acc:MGI:3036234]
10090.ENSMUSP00000008999	ENSMUSG00000008855	Hdac5	15184	histone deacetylase 5 [Source:MGI Symbol;Acc:MGI:1333784]
10090.ENSMUSP00000021428	ENSMUSG00000021039	Snw1	66354	SNW domain containing 1 [Source:MGI Symbol;Acc:MGI:1913604]
10090.ENSMUSP00000059210	ENSMUSG00000050567	Maml1	103806	mastermind like 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1890504]
10090.ENSMUSP00000112637	ENSMUSG00000061143	Maml3	433586	mastermind like 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:2389461]
10090.ENSMUSP00000112110	ENSMUSG00000022475	Hdac7	56233	histone deacetylase 7 [Source:MGI Symbol;Acc:MGI:1891835]
10090.ENSMUSP00000070588	ENSMUSG00000027935	Rab13	68328	RAB13, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1927232]
10090.ENSMUSP00000105112	ENSMUSG00000027652	Ralgapb	228850	Ral GTPase activating protein, beta subunit (non-catalytic) [Source:MGI Symbol;Acc:MGI:2444531]
10090.ENSMUSP00000105613	ENSMUSG00000037110	Ralgapa2	241694	Ral GTPase activating protein, alpha subunit 2 (catalytic) [Source:MGI Symbol;Acc:MGI:3036245]
10090.ENSMUSP00000113848	ENSMUSG00000018395	Kif3a	16568	kinesin family member 3A [Source:MGI Symbol;Acc:MGI:107689]
10090.ENSMUSP00000055862	ENSMUSG00000044147	Arf6	11845	ADP-ribosylation factor 6 [Source:MGI Symbol;Acc:MGI:99435]
10090.ENSMUSP00000026135	ENSMUSG00000025142	Aspscr1	68938	alveolar soft part sarcoma chromosome region, candidate 1 (human) [Source:MGI Symbol;Acc:MGI:1916188]
10090.ENSMUSP00000117493	ENSMUSG00000034593	Myo5a	17918	myosin VA [Source:MGI Symbol;Acc:MGI:105976]
10090.ENSMUSP00000028238	ENSMUSG00000026878	Rab14	68365	RAB14, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1915615]
10090.ENSMUSP00000096232	ENSMUSG00000003037	Rab8a	17274	RAB8A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:96960]
10090.ENSMUSP00000021001	ENSMUSG00000020671	Rab10	19325	RAB10, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105066]
10090.ENSMUSP00000099563	ENSMUSG00000017774	Myo1c	17913	myosin IC [Source:MGI Symbol;Acc:MGI:106612]
10090.ENSMUSP00000051965	ENSMUSG00000029763	Exoc4	20336	exocyst complex component 4 [Source:MGI Symbol;Acc:MGI:1096376]
10090.ENSMUSP00000109121	ENSMUSG00000036435	Exoc1	69940	exocyst complex component 1 [Source:MGI Symbol;Acc:MGI:2445020]
10090.ENSMUSP00000021147	ENSMUSG00000020792	Exoc7	53413	exocyst complex component 7 [Source:MGI Symbol;Acc:MGI:1859270]
10090.ENSMUSP00000087302	ENSMUSG00000061244	Exoc5	105504	exocyst complex component 5 [Source:MGI Symbol;Acc:MGI:2145645]
10090.ENSMUSP00000039416	ENSMUSG00000034152	Exoc3	211446	exocyst complex component 3 [Source:MGI Symbol;Acc:MGI:2443972]
10090.ENSMUSP00000009120	ENSMUSG00000008976	Gabpa	14390	GA repeat binding protein, alpha [Source:MGI Symbol;Acc:MGI:95610]
10090.ENSMUSP00000106055	ENSMUSG00000027361	Gabpb1	14391	GA repeat binding protein, beta 1 [Source:MGI Symbol;Acc:MGI:95611]
10090.ENSMUSP00000056784	ENSMUSG00000026836	Acvr1	11477	activin A receptor, type 1 [Source:MGI Symbol;Acc:MGI:87911]
10090.ENSMUSP00000021922	ENSMUSG00000021469	Msx2	17702	homeobox, msh-like 2 [Source:MGI Symbol;Acc:MGI:97169]
10090.ENSMUSP00000035900	ENSMUSG00000021796	Bmpr1a	12166	bone morphogenetic protein receptor, type 1A [Source:MGI Symbol;Acc:MGI:1338938]
10090.ENSMUSP00000040230	ENSMUSG00000036169	Sostdc1	66042	sclerostin domain containing 1 [Source:MGI Symbol;Acc:MGI:1913292]
10090.ENSMUSP00000022287	ENSMUSG00000021765	Fst	14313	follistatin [Source:MGI Symbol;Acc:MGI:95586]
10090.ENSMUSP00000065798	ENSMUSG00000021540	Smad5	17129	MAD homolog 5 (Drosophila) [Source:MGI Symbol;Acc:MGI:1328787]
10090.ENSMUSP00000101839	ENSMUSG00000052430	Bmpr1b	12167	bone morphogenetic protein receptor, type 1B [Source:MGI Symbol;Acc:MGI:107191]
10090.ENSMUSP00000084701	ENSMUSG00000067336	Bmpr2	12168	bone morphogenic protein receptor, type II (serine/threonine kinase) [Source:MGI Symbol;Acc:MGI:1095407]
10090.ENSMUSP00000009321	ENSMUSG00000022718	Dgcr8	94223	DiGeorge syndrome critical region gene 8 [Source:MGI Symbol;Acc:MGI:2151114]
10090.ENSMUSP00000009437	ENSMUSG00000009293	Ube2g2	22213	ubiquitin-conjugating enzyme E2G 2 [Source:MGI Symbol;Acc:MGI:1343188]
10090.ENSMUSP00000114960	ENSMUSG00000024807	Syvn1	74126	synovial apoptosis inhibitor 1, synoviolin [Source:MGI Symbol;Acc:MGI:1921376]
10090.ENSMUSP00000052258	ENSMUSG00000031751	Amfr	23802	autocrine motility factor receptor [Source:MGI Symbol;Acc:MGI:1345634]
10090.ENSMUSP00000009550	ENSMUSG00000009406	Elk1	13712	ELK1, member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:101833]
10090.ENSMUSP00000038901	ENSMUSG00000040164	Kcns1	16538	K+ voltage-gated channel, subfamily S, 1 [Source:MGI Symbol;Acc:MGI:1197019]
10090.ENSMUSP00000113436	ENSMUSG00000040896	Kcnd3	56543	potassium voltage-gated channel, Shal-related family, member 3 [Source:MGI Symbol;Acc:MGI:1928743]
10090.ENSMUSP00000009875	ENSMUSG00000009731	Kcnd1	16506	potassium voltage-gated channel, Shal-related family, member 1 [Source:MGI Symbol;Acc:MGI:96671]
10090.ENSMUSP00000080257	ENSMUSG00000060882	Kcnd2	16508	potassium voltage-gated channel, Shal-related family, member 2 [Source:MGI Symbol;Acc:MGI:102663]
10090.ENSMUSP00000039353	ENSMUSG00000035165	Kcne3	57442	potassium voltage-gated channel, Isk-related subfamily, gene 3 [Source:MGI Symbol;Acc:MGI:1891124]
10090.ENSMUSP00000009667	ENSMUSG00000030838	Ush1c	72088	Usher syndrome 1C homolog (human) [Source:MGI Symbol;Acc:MGI:1919338]
10090.ENSMUSP00000102745	ENSMUSG00000030761	Myo7a	17921	myosin VIIA [Source:MGI Symbol;Acc:MGI:104510]
10090.ENSMUSP00000101066	ENSMUSG00000052613	Pcdh15	11994	protocadherin 15 [Source:MGI Symbol;Acc:MGI:1891428]
10090.ENSMUSP00000101104	ENSMUSG00000012819	Cdh23	22295	cadherin 23 (otocadherin) [Source:MGI Symbol;Acc:MGI:1890219]
10090.ENSMUSP00000109604	ENSMUSG00000039672	Kcne2	246133	potassium voltage-gated channel, Isk-related subfamily, gene 2 [Source:MGI Symbol;Acc:MGI:1891123]
10090.ENSMUSP00000052248	ENSMUSG00000039639	Kcne1	16509	potassium voltage-gated channel, Isk-related subfamily, member 1 [Source:MGI Symbol;Acc:MGI:96673]
10090.ENSMUSP00000090058	ENSMUSG00000034120	Srsf2	20382	serine/arginine-rich splicing factor 2 [Source:MGI Symbol;Acc:MGI:98284]
10090.ENSMUSP00000098616	ENSMUSG00000021258	Ccnk	12454	cyclin K [Source:MGI Symbol;Acc:MGI:1276106]
10090.ENSMUSP00000114027	ENSMUSG00000000530	Acvrl1	11482	activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]
10090.ENSMUSP00000009740	ENSMUSG00000009596	Taf7l	74469	TAF7-like RNA polymerase II, TATA box binding protein (TBP)-associated factor [Source:MGI Symbol;Acc:MGI:1921719]
10090.ENSMUSP00000109401	ENSMUSG00000039220	Ppp1r10	52040	protein phosphatase 1, regulatory subunit 10 [Source:MGI Symbol;Acc:MGI:1289273]
10090.ENSMUSP00000033570	ENSMUSG00000031221	Igbp1	18518	immunoglobulin (CD79A) binding protein 1 [Source:MGI Symbol;Acc:MGI:1346500]
10090.ENSMUSP00000119715	ENSMUSG00000020516	Rps6kb1	72508	ribosomal protein S6 kinase, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1270849]
10090.ENSMUSP00000009777	ENSMUSG00000009633	G0s2	14373	G0/G1 switch gene 2 [Source:MGI Symbol;Acc:MGI:1316737]
10090.ENSMUSP00000044608	ENSMUSG00000038173	Enpp6	320981	ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:MGI Symbol;Acc:MGI:2445171]
10090.ENSMUSP00000024706	ENSMUSG00000023913	Pla2g7	27226	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) [Source:MGI Symbol;Acc:MGI:1351327]
10090.ENSMUSP00000010038	ENSMUSG00000009894	Snap47	67826	synaptosomal-associated protein, 47 [Source:MGI Symbol;Acc:MGI:1915076]
10090.ENSMUSP00000023449	ENSMUSG00000022765	Snap29	67474	synaptosomal-associated protein 29 [Source:MGI Symbol;Acc:MGI:1914724]
10090.ENSMUSP00000025521	ENSMUSG00000024619	Cdx1	12590	caudal type homeobox 1 [Source:MGI Symbol;Acc:MGI:88360]
10090.ENSMUSP00000114114	ENSMUSG00000081683	Fzd10	93897	frizzled homolog 10 (Drosophila) [Source:MGI Symbol;Acc:MGI:2136761]
10090.ENSMUSP00000053551	ENSMUSG00000049551	Fzd9	14371	frizzled homolog 9 (Drosophila) [Source:MGI Symbol;Acc:MGI:1313278]
10090.ENSMUSP00000074236	ENSMUSG00000062327	T	20997	brachyury [Source:MGI Symbol;Acc:MGI:98472]
10090.ENSMUSP00000032322	ENSMUSG00000030201	Lrp6	16974	low density lipoprotein receptor-related protein 6 [Source:MGI Symbol;Acc:MGI:1298218]
10090.ENSMUSP00000033952	ENSMUSG00000031548	Sfrp1	20377	secreted frizzled-related protein 1 [Source:MGI Symbol;Acc:MGI:892014]
10090.ENSMUSP00000020439	ENSMUSG00000020218	Wif1	24117	Wnt inhibitory factor 1 [Source:MGI Symbol;Acc:MGI:1344332]
10090.ENSMUSP00000021450	ENSMUSG00000021054	Sgpp1	81535	sphingosine-1-phosphate phosphatase 1 [Source:MGI Symbol;Acc:MGI:2135760]
10090.ENSMUSP00000036656	ENSMUSG00000032908	Sgpp2	433323	sphingosine-1-phosphate phosphotase 2 [Source:MGI Symbol;Acc:MGI:3589109]
10090.ENSMUSP00000069238	ENSMUSG00000030510	Lass3	545975	LAG1 homolog, ceramide synthase 3 [Source:MGI Symbol;Acc:MGI:2681008]
10090.ENSMUSP00000103367	ENSMUSG00000057342	Sphk2	56632	sphingosine kinase 2 [Source:MGI Symbol;Acc:MGI:1861380]
10090.ENSMUSP00000028426	ENSMUSG00000027035	Lass6	241447	LAG1 homolog, ceramide synthase 6 [Source:MGI Symbol;Acc:MGI:2442564]
10090.ENSMUSP00000033020	ENSMUSG00000030760	Acer3	66190	alkaline ceramidase 3 [Source:MGI Symbol;Acc:MGI:1913440]
10090.ENSMUSP00000021920	ENSMUSG00000021468	Sptlc1	268656	serine palmitoyltransferase, long chain base subunit 1 [Source:MGI Symbol;Acc:MGI:1099431]
10090.ENSMUSP00000048313	ENSMUSG00000039092	Sptlc3	228677	serine palmitoyltransferase, long chain base subunit 3 [Source:MGI Symbol;Acc:MGI:2444678]
10090.ENSMUSP00000023762	ENSMUSG00000023021	Lass5	71949	LAG1 homolog, ceramide synthase 5 [Source:MGI Symbol;Acc:MGI:1919199]
10090.ENSMUSP00000021424	ENSMUSG00000021036	Sptlc2	20773	serine palmitoyltransferase, long chain base subunit 2 [Source:MGI Symbol;Acc:MGI:108074]
10090.ENSMUSP00000010085	ENSMUSG00000009941	Nxf2	83454	nuclear RNA export factor 2 [Source:MGI Symbol;Acc:MGI:1933192]
10090.ENSMUSP00000038329	ENSMUSG00000036992	Nxt1	56488	NTF2-related export protein 1 [Source:MGI Symbol;Acc:MGI:1929619]
10090.ENSMUSP00000108538	ENSMUSG00000042271	Nxt2	237082	nuclear transport factor 2-like export factor 2 [Source:MGI Symbol;Acc:MGI:2147914]
10090.ENSMUSP00000010127	ENSMUSG00000031397	Tktl1	83553	transketolase-like 1 [Source:MGI Symbol;Acc:MGI:1933244]
10090.ENSMUSP00000088964	ENSMUSG00000042082	Arsb	11881	arylsulfatase B [Source:MGI Symbol;Acc:MGI:88075]
10090.ENSMUSP00000010195	ENSMUSG00000010051	Hyal1	15586	hyaluronoglucosaminidase 1 [Source:MGI Symbol;Acc:MGI:96298]
10090.ENSMUSP00000030561	ENSMUSG00000028777	Gnat3	242851	guanine nucleotide binding protein, alpha transducing 3 [Source:MGI Symbol;Acc:MGI:3588268]
10090.ENSMUSP00000099000	ENSMUSG00000031394	Opn1mw	14539	opsin 1 (cone pigments), medium-wave-sensitive (color blindness, deutan) [Source:MGI Symbol;Acc:MGI:1097692]
10090.ENSMUSP00000025468	ENSMUSG00000024575	Pde6a	225600	phosphodiesterase 6A, cGMP-specific, rod, alpha [Source:MGI Symbol;Acc:MGI:97524]
10090.ENSMUSP00000079289	ENSMUSG00000058831	Opn1sw	12057	opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan) [Source:MGI Symbol;Acc:MGI:99438]
10090.ENSMUSP00000031456	ENSMUSG00000029491	Pde6b	18587	phosphodiesterase 6B, cGMP, rod receptor, beta polypeptide [Source:MGI Symbol;Acc:MGI:97525]
10090.ENSMUSP00000031673	ENSMUSG00000029663	Gngt1	14699	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1 [Source:MGI Symbol;Acc:MGI:109165]
10090.ENSMUSP00000020920	ENSMUSG00000020599	Rgs9	19739	regulator of G-protein signaling 9 [Source:MGI Symbol;Acc:MGI:1338824]
10090.ENSMUSP00000029297	ENSMUSG00000027737	Slc7a11	26570	solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 [Source:MGI Symbol;Acc:MGI:1347355]
10090.ENSMUSP00000034378	ENSMUSG00000031904	Slc7a6	330836	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6 [Source:MGI Symbol;Acc:MGI:2142598]
10090.ENSMUSP00000022787	ENSMUSG00000022180	Slc7a8	50934	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8 [Source:MGI Symbol;Acc:MGI:1355323]
10090.ENSMUSP00000041557	ENSMUSG00000040010	Slc7a5	20539	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 [Source:MGI Symbol;Acc:MGI:1298205]
10090.ENSMUSP00000106801	ENSMUSG00000053293	Pom121	107939	nuclear pore membrane protein 121 [Source:MGI Symbol;Acc:MGI:2137624]
10090.ENSMUSP00000026667	ENSMUSG00000025580	Eif4a3	192170;434050	eukaryotic translation initiation factor 4A3 [Source:MGI Symbol;Acc:MGI:1923731]
10090.ENSMUSP00000062930	ENSMUSG00000004642	Slbp	20492	stem-loop binding protein [Source:MGI Symbol;Acc:MGI:108402]
10090.ENSMUSP00000094405	ENSMUSG00000063550	Nup98	269966	nucleoporin 98 [Source:MGI Symbol;Acc:MGI:109404]
10090.ENSMUSP00000107409	ENSMUSG00000026470	Stx6	58244	syntaxin 6 [Source:MGI Symbol;Acc:MGI:1926235]
10090.ENSMUSP00000015725	ENSMUSG00000024191	Bnip1	224630	BCL2/adenovirus E1B interacting protein 1 [Source:MGI Symbol;Acc:MGI:109328]
10090.ENSMUSP00000029476	ENSMUSG00000027879	Sec22b	20333	SEC22 vesicle trafficking protein homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1338759]
10090.ENSMUSP00000010286	ENSMUSG00000010142	Tnfrsf13b	57916	tumor necrosis factor receptor superfamily, member 13b [Source:MGI Symbol;Acc:MGI:1889411]
10090.ENSMUSP00000033892	ENSMUSG00000031497	Tnfsf13b	24099	tumor necrosis factor (ligand) superfamily, member 13b [Source:MGI Symbol;Acc:MGI:1344376]
10090.ENSMUSP00000030039	ENSMUSG00000028354	Fmn2	54418	formin 2 [Source:MGI Symbol;Acc:MGI:1859252]
10090.ENSMUSP00000086701	ENSMUSG00000030061	Uba3	22200	ubiquitin-like modifier activating enzyme 3 [Source:MGI Symbol;Acc:MGI:1341217]
10090.ENSMUSP00000010736	ENSMUSG00000010592	Dazl	13164	deleted in azoospermia-like [Source:MGI Symbol;Acc:MGI:1342328]
10090.ENSMUSP00000069765	ENSMUSG00000051965	Nanos2	378430	nanos homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:2676627]
10090.ENSMUSP00000010752	ENSMUSG00000010608	Rbm25	67039	RNA binding motif protein 25 [Source:MGI Symbol;Acc:MGI:1914289]
10090.ENSMUSP00000105216	ENSMUSG00000027620	Rbm39	170791	RNA binding motif protein 39 [Source:MGI Symbol;Acc:MGI:2157953]
10090.ENSMUSP00000035116	ENSMUSG00000032527	Pccb	66904	propionyl Coenzyme A carboxylase, beta polypeptide [Source:MGI Symbol;Acc:MGI:1914154]
10090.ENSMUSP00000027153	ENSMUSG00000026003	Acadl	11363	acyl-Coenzyme A dehydrogenase, long-chain [Source:MGI Symbol;Acc:MGI:87866]
10090.ENSMUSP00000071671	ENSMUSG00000028894	Inpp5b	16330	inositol polyphosphate-5-phosphatase B [Source:MGI Symbol;Acc:MGI:103257]
10090.ENSMUSP00000076911	ENSMUSG00000026447	Pik3c2b	240752	phosphoinositide-3-kinase, class 2, beta polypeptide [Source:MGI Symbol;Acc:MGI:2685045]
10090.ENSMUSP00000084939	ENSMUSG00000030228	Pik3c2g	18705	phosphatidylinositol 3-kinase, C2 domain containing, gamma polypeptide [Source:MGI Symbol;Acc:MGI:1203730]
10090.ENSMUSP00000119485	ENSMUSG00000026925	Inpp5e	64436	inositol polyphosphate-5-phosphatase E [Source:MGI Symbol;Acc:MGI:1927753]
10090.ENSMUSP00000057859	ENSMUSG00000004815	Dgkq	110524	diacylglycerol kinase, theta [Source:MGI Symbol;Acc:MGI:102918]
10090.ENSMUSP00000111479	ENSMUSG00000033628	Pik3c3	225326	phosphoinositide-3-kinase, class 3 [Source:MGI Symbol;Acc:MGI:2445019]
10090.ENSMUSP00000032920	ENSMUSG00000030682	Cdipt	52858	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase) [Source:MGI Symbol;Acc:MGI:105491]
10090.ENSMUSP00000099071	ENSMUSG00000038665	Dgki	320127	diacylglycerol kinase, iota [Source:MGI Symbol;Acc:MGI:2443430]
10090.ENSMUSP00000106934	ENSMUSG00000040479	Dgkz	104418	diacylglycerol kinase zeta [Source:MGI Symbol;Acc:MGI:1278339]
10090.ENSMUSP00000013970	ENSMUSG00000025417	Pip4k2c	117150	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma [Source:MGI Symbol;Acc:MGI:2152214]
10090.ENSMUSP00000087371	ENSMUSG00000022861	Dgkg	110197	diacylglycerol kinase, gamma [Source:MGI Symbol;Acc:MGI:105060]
10090.ENSMUSP00000026550	ENSMUSG00000025477	Inpp5a	212111	inositol polyphosphate-5-phosphatase A [Source:MGI Symbol;Acc:MGI:2686961]
10090.ENSMUSP00000010807	ENSMUSG00000010663	Fads1	76267	fatty acid desaturase 1 [Source:MGI Symbol;Acc:MGI:1923517]
10090.ENSMUSP00000057595	ENSMUSG00000027359	Slc27a2	26458	solute carrier family 27 (fatty acid transporter), member 2 [Source:MGI Symbol;Acc:MGI:1347099]
10090.ENSMUSP00000121695	ENSMUSG00000032883	Acsl3	74205	acyl-CoA synthetase long-chain family member 3 [Source:MGI Symbol;Acc:MGI:1921455]
10090.ENSMUSP00000021793	ENSMUSG00000021364	Elovl2	54326	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2 [Source:MGI Symbol;Acc:MGI:1858960]
10090.ENSMUSP00000034904	ENSMUSG00000032349	Elovl5	68801	ELOVL family member 5, elongation of long chain fatty acids (yeast) [Source:MGI Symbol;Acc:MGI:1916051]
10090.ENSMUSP00000010974	ENSMUSG00000010830	Kdelr3	105785	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3 [Source:MGI Symbol;Acc:MGI:2145953]
10090.ENSMUSP00000062209	ENSMUSG00000045886	Gm9803	66449	predicted gene 9803 [Source:MGI Symbol;Acc:MGI:3704359]
10090.ENSMUSP00000011055	ENSMUSG00000010911	Apip	56369	APAF1 interacting protein [Source:MGI Symbol;Acc:MGI:1926788]
10090.ENSMUSP00000122623	ENSMUSG00000004996	Mri1	67873	methylthioribose-1-phosphate isomerase homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915123]
10090.ENSMUSP00000031268	ENSMUSG00000029326	Enoph1	67870	enolase-phosphatase 1 [Source:MGI Symbol;Acc:MGI:1915120]
10090.ENSMUSP00000011178	ENSMUSG00000011034	Slc5a1	20537	solute carrier family 5 (sodium/glucose cotransporter), member 1 [Source:MGI Symbol;Acc:MGI:107678]
10090.ENSMUSP00000029240	ENSMUSG00000027690	Slc2a2	20526	solute carrier family 2 (facilitated glucose transporter), member 2 [Source:MGI Symbol;Acc:MGI:1095438]
10090.ENSMUSP00000032902	ENSMUSG00000030666	Calcb	116903	calcitonin-related polypeptide, beta [Source:MGI Symbol;Acc:MGI:2151254]
10090.ENSMUSP00000093653	ENSMUSG00000071489	Ptgdr	19214	prostaglandin D receptor [Source:MGI Symbol;Acc:MGI:102966]
10090.ENSMUSP00000024031	ENSMUSG00000023262	Acy1	109652	aminoacylase 1 [Source:MGI Symbol;Acc:MGI:87913]
10090.ENSMUSP00000056152	ENSMUSG00000031173	Otc	18416	ornithine transcarbamylase [Source:MGI Symbol;Acc:MGI:97448]
10090.ENSMUSP00000020161	ENSMUSG00000019987	Arg1	11846	arginase, liver [Source:MGI Symbol;Acc:MGI:88070]
10090.ENSMUSP00000021550	ENSMUSG00000021125	Arg2	11847	arginase type II [Source:MGI Symbol;Acc:MGI:1330806]
10090.ENSMUSP00000011607	ENSMUSG00000011463	Cpb1	76703	carboxypeptidase B1 (tissue) [Source:MGI Symbol;Acc:MGI:1923953]
10090.ENSMUSP00000034435	ENSMUSG00000031957	Ctrb1	66473	chymotrypsinogen B1 [Source:MGI Symbol;Acc:MGI:88559]
10090.ENSMUSP00000031931	ENSMUSG00000029882	2210010C04Rik	67373	RIKEN cDNA 2210010C04 gene [Source:MGI Symbol;Acc:MGI:1914623]
10090.ENSMUSP00000031806	ENSMUSG00000054446	Cpa1	109697	carboxypeptidase A1, pancreatic [Source:MGI Symbol;Acc:MGI:88478]
10090.ENSMUSP00000045465	ENSMUSG00000042179	Pnliprp1	18946	pancreatic lipase related protein 1 [Source:MGI Symbol;Acc:MGI:97723]
10090.ENSMUSP00000065393	ENSMUSG00000057163	Prss2	22072	protease, serine, 2 [Source:MGI Symbol;Acc:MGI:102759]
10090.ENSMUSP00000031913	ENSMUSG00000054106	Try4	22074	trypsin 4 [Source:MGI Symbol;Acc:MGI:102757]
10090.ENSMUSP00000099581	ENSMUSG00000023433	Cela3b	67868	chymotrypsin-like elastase family, member 3B [Source:MGI Symbol;Acc:MGI:1915118]
10090.ENSMUSP00000056377	ENSMUSG00000046008	Pnlip	69060	pancreatic lipase [Source:MGI Symbol;Acc:MGI:97722]
10090.ENSMUSP00000104188	ENSMUSG00000060600	Eno3	13808	enolase 3, beta muscle [Source:MGI Symbol;Acc:MGI:95395]
10090.ENSMUSP00000033585	ENSMUSG00000031233	Pgk2	18663	phosphoglycerate kinase 2 [Source:MGI Symbol;Acc:MGI:97563]
10090.ENSMUSP00000080302	ENSMUSG00000062070	Pgk1	18655	phosphoglycerate kinase 1 [Source:MGI Symbol;Acc:MGI:97555]
10090.ENSMUSP00000057339	ENSMUSG00000048878	Hexim1	192231	hexamethylene bis-acetamide inducible 1 [Source:MGI Symbol;Acc:MGI:2385923]
10090.ENSMUSP00000012426	ENSMUSG00000012282	Wnt8a	20890	wingless-related MMTV integration site 8A [Source:MGI Symbol;Acc:MGI:107924]
10090.ENSMUSP00000018966	ENSMUSG00000018822	Sfrp5	54612	secreted frizzled-related sequence protein 5 [Source:MGI Symbol;Acc:MGI:1860298]
10090.ENSMUSP00000034090	ENSMUSG00000031665	Sall1	58198	sal-like 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1889585]
10090.ENSMUSP00000105579	ENSMUSG00000034394	Lif	16878	leukemia inhibitory factor [Source:MGI Symbol;Acc:MGI:96787]
10090.ENSMUSP00000029061	ENSMUSG00000027547	Sall4	99377	sal-like 4 (Drosophila) [Source:MGI Symbol;Acc:MGI:2139360]
10090.ENSMUSP00000012580	ENSMUSG00000027615	Hps3	12807	Hermansky-Pudlak syndrome 3 homolog (human) [Source:MGI Symbol;Acc:MGI:2153839]
10090.ENSMUSP00000030340	ENSMUSG00000028603	Scp2	20280	sterol carrier protein 2, liver [Source:MGI Symbol;Acc:MGI:98254]
10090.ENSMUSP00000119482	ENSMUSG00000021294	Kif26a	668303	kinesin family member 26A [Source:MGI Symbol;Acc:MGI:2447072]
10090.ENSMUSP00000040416	ENSMUSG00000037544	Dlgap5	218977	discs, large (Drosophila) homolog-associated protein 5 [Source:MGI Symbol;Acc:MGI:2183453]
10090.ENSMUSP00000059159	ENSMUSG00000033952	Aspm	12316	asp (abnormal spindle)-like, microcephaly associated (Drosophila) [Source:MGI Symbol;Acc:MGI:1334448]
10090.ENSMUSP00000018963	ENSMUSG00000018819	Lsp1	16985	lymphocyte specific 1 [Source:MGI Symbol;Acc:MGI:96832]
10090.ENSMUSP00000012849	ENSMUSG00000012705	Retn	57264	resistin [Source:MGI Symbol;Acc:MGI:1888506]
10090.ENSMUSP00000013130	ENSMUSG00000020954	Strn3	94186	striatin, calmodulin binding protein 3 [Source:MGI Symbol;Acc:MGI:2151064]
10090.ENSMUSP00000096359	ENSMUSG00000062127	Cttnbp2nl	80281	CTTNBP2 N-terminal like [Source:MGI Symbol;Acc:MGI:1933137]
